StockCode,DescriptionClean,Revenue,UnitsSold,Orders,Customers,AvgUnitPrice,RevenueRank,VolumeRank,RankDifference,RevenuePerUnit,CumulativeRevenue,CumulativeRevenuePct,ProductPct
22910,PAPER CHAIN KIT VINTAGE CHRISTMAS,58652.700000000004,18634,1427,701,3.300415224913495,21.0,81.0,60.0,3.1476172587742837,2805417.6799999997,13.700580268875711,0.36275695284159615
22112,CHOCOLATE HOT WATER BOTTLE,57981.94,11066,1721,631,5.846643757159221,22.0,201.0,179.0,5.23964756913067,2863399.6199999996,13.983741749170914,0.3800310934531007
15056N,EDWARDIAN PARASOL NATURAL,57975.450000000004,11286,1033,347,6.818394230769231,23.0,198.0,175.0,5.1369351408825095,2921375.07,14.266871534803832,0.3973052340646053
22411,JUMBO SHOPPER VINTAGE RED PAISLEY,57318.71,27282,2193,658,2.4498823529411764,24.0,40.0,16.0,2.100971702954329,2978693.78,14.546794055026705,0.41457937467610984
82484,WOOD BLACK BOARD ANT WHITE FINISH,56745.73,9831,1176,451,7.810832625318607,25.0,235.0,210.0,5.772121859424271,3035439.51,14.823918361444047,0.4318535152876144
22470,HEART OF WICKER LARGE,53506.130000000005,17781,1957,827,3.2045072536268138,26.0,87.0,61.0,3.0091743996400653,3088945.6399999997,15.085221708239057,0.449127655899119
22178,VICTORIAN GLASS HANGING T-LIGHT,52382.82,40081,1816,593,1.5693047256925585,27.0,17.0,-10.0,1.3069239789426412,3141328.4599999995,15.341039241306028,0.4664017965106236
21733,RED HANGING HEART T-LIGHT HOLDER,50346.490000000005,17575,1760,744,3.09675404350251,28.0,91.0,63.0,2.8646651493598867,3191674.9499999997,15.586912122345673,0.48367593712212814
21181,PLEASE ONE PERSON METAL SIGN,50117.14000000001,24732,1810,598,2.366498905908096,29.0,52.0,23.0,2.0264087012776972,3241792.09,15.83166494625191,0.5009500777336328
22386,JUMBO BAG PINK POLKADOT,50081.96,25235,1443,432,2.5595130315500687,30.0,50.0,20.0,1.9846229443233603,3291874.05,16.07624596457736,0.5182242183451373
22111,SCOTTIE DOG HOT WATER BOTTLE,49771.94,9776,1689,717,5.734759698899826,31.0,236.0,205.0,5.091237725040917,3341645.9899999998,16.319312964535694,0.5354983589566419
21929,JUMBO BAG PINK VINTAGE PAISLEY,49651.99,25608,1619,504,2.5029736358062538,32.0,47.0,15.0,1.9389249453295845,3391297.98,16.561794174857436,0.5527724995681464
22189,CREAM HEART CARD HOLDER,49300.94,16186,1299,536,4.4335582822085895,33.0,107.0,74.0,3.0459001606326455,3440598.92,16.80256099208268,0.570046640179651
22469,HEART OF WICKER SMALL,48935.11,27949,2155,886,1.9172,34.0,37.0,3.0,1.7508715875344378,3489534.03,17.041541236379583,0.5873207807911557
21843,RED RETROSPOT CAKE STAND,48564.29,4637,1188,502,12.246470588235294,35.0,598.0,563.0,10.473213284451154,3538098.32,17.278710538508584,0.6045949214026602
21731,RED TOADSTOOL LED NIGHT LIGHT,48315.84,28910,1537,415,2.237496782496782,36.0,34.0,-2.0,1.671250086475268,3586414.1599999997,17.51466650645492,0.6218690620141648
22457,NATURAL SLATE HEART CHALKBOARD,47288.23,15373,2046,874,3.5118406993686255,37.0,121.0,84.0,3.0760573733168544,3633702.3899999997,17.745604022642546,0.6391432026256694
15056BL,EDWARDIAN PARASOL BLACK,47267.450000000004,9504,857,321,6.25234752589183,38.0,247.0,209.0,4.973426978114478,3680969.84,17.976440057307467,0.6564173432371739
21232,STRAWBERRY CERAMIC TRINKET BOX,47169.35,36629,2310,683,1.5192987675308116,39.0,22.0,-17.0,1.2877596985994704,3728139.19,18.20679700932671,0.6736914838486785
21754,HOME BUILDING BLOCK WORD,46516.99,7595,2066,682,6.587843794920939,40.0,329.0,289.0,6.124685977616853,3774656.18,18.433968086170246,0.6909656244601831
22138,BAKING SET 9 PIECE RETROSPOT,45882.01,9366,1914,1137,5.3669730010384225,41.0,252.0,211.0,4.898783899209908,3820538.19,18.658038165069286,0.7082397650716877
20727,LUNCH BAG BLACK SKULL.,45655.27,26678,2351,705,2.023109908409659,42.0,42.0,0.0,1.7113453032461203,3866193.46,18.881000933070442,0.7255139056831923
21623,VINTAGE UNION JACK MEMOBOARD,45402.18,6165,530,311,10.215838041431262,43.0,422.0,379.0,7.364506082725061,3911595.64,19.102727706914667,0.7427880462946969
22326,ROUND SNACK BOXES SET OF4 WOODLAND,44063.04,15382,1390,439,3.4255777460770327,44.0,120.0,76.0,2.8645845793784943,3955658.68,19.3179146363742,0.7600621869062014
84078A,SET/4 WHITE RETRO STORAGE CUBES,43844.96,1128,328,151,45.85689024390244,45.0,1930.0,1885.0,38.86964539007092,3999503.64,19.532036547043003,0.777336327517706
82494L,WOODEN FRAME ANTIQUE WHITE,43811.16,15301,1973,631,3.2012643678160924,46.0,122.0,76.0,2.863287366838769,4043314.8000000003,19.745993391519924,0.7946104681292105
84029E,RED WOOLLY HOTTIE WHITE HEART.,42994.24,10628,1145,500,4.464668959587274,47.0,211.0,164.0,4.045374482499059,4086309.0400000005,19.955960713112944,0.8118846087407152
22197,SMALL POPCORN HOLDER,42699.89,48597,1412,426,1.0360921144452198,48.0,10.0,-38.0,0.8786527974977879,4129008.9300000006,20.164490542588165,0.8291587493522197
21915,RED HARMONICA IN BOX,42664.54,36289,1025,467,1.399408341416101,49.0,23.0,-26.0,1.1756879495163823,4171673.4700000007,20.372847736268024,0.8464328899637243
21175,GIN + TONIC DIET METAL SIGN,42613.98,20178,1609,543,2.5423874151758175,50.0,71.0,21.0,2.1119030627416,4214287.450000001,20.580958014366175,0.8637070305752288
22383,LUNCH BAG SUKI DESIGN,42592.72,24649,2364,657,2.0805162364696086,51.0,53.0,2.0,1.7279694916629478,4256880.170000001,20.78896446680635,0.8809811711867335
23298,SPOTTY BUNTING,42513.48,8491,1141,571,5.514403114186851,52.0,283.0,231.0,5.006887292427276,4299393.650000001,20.996583941582468,0.898255311798238
20728,LUNCH BAG CARS BLUE,42270.3,24596,2067,702,1.9748732663797226,53.0,54.0,1.0,1.7185843226540902,4341663.950000001,21.203015818827737,0.9155294524097426
48138,DOORMAT UNION FLAG,42239.5,6303,992,467,8.469145728643216,54.0,406.0,352.0,6.701491353323814,4383903.450000001,21.40929728072655,0.9328035930212472
82482,WOODEN PICTURE FRAME WHITE FINISH,41837.6,16914,2006,601,2.924807502467917,55.0,100.0,45.0,2.473548539671278,4425741.050000001,21.61361601769876,0.9500777336327518
22355,CHARLOTTE BAG SUKI DESIGN,41580.97,27557,1406,344,1.1740366972477063,56.0,39.0,-17.0,1.5089077185470117,4467322.0200000005,21.816681472516418,0.9673518742442563
71477,COLOUR GLASS. STAR T-LIGHT HOLDER,41099.79,14077,757,298,3.686446173800259,57.0,135.0,78.0,2.9196412587909357,4508421.8100000005,22.017397029398822,0.984626014855761
20725,LUNCH BAG RED RETROSPOT,41043.02,22232,1837,605,2.115301399354144,58.0,59.0,1.0,1.84612360561353,4549464.83,22.217835343449465,1.0019001554672655
20713,JUMBO BAG OWLS,40667.05,20814,1314,371,2.5839698113207543,59.0,66.0,7.0,1.9538315556836745,4590131.88,22.416437564714204,1.0191742960787702
22502,PICNIC BASKET WICKER 60 PIECES,39619.5,61,2,1,649.5,60.0,4410.0,4350.0,649.5,4629751.38,22.60992395493426,1.0364484366902746
85066,CREAM SWEETHEART MINI CHEST,38599.979999999996,3095,931,471,14.050127523910733,61.0,886.0,825.0,12.471722132471728,4668351.36,22.798431401842134,1.0537225773017793
20726,LUNCH BAG WOODLAND,38506.74,22120,1928,585,2.1101485655737706,62.0,60.0,-2.0,1.7408110307414104,4706858.100000001,22.986483500473927,1.0709967179132838
48194,DOORMAT HEARTS,38428.12,6029,1035,448,8.770433944069431,63.0,442.0,379.0,6.373879582020236,4745286.220000001,23.174151649283047,1.0882708585247884
22960,JAM MAKING SET WITH JARS,38380.11,9030,1160,583,5.054668389319552,64.0,259.0,195.0,4.25028903654485,4783666.330000001,23.361585335729085,1.105544999136293
21166,COOK WITH WINE METAL SIGN,38138.86,19932,1425,475,2.276118466898955,65.0,72.0,7.0,1.9134487256672688,4821805.190000001,23.547840850021494,1.1228191397477976
23284,DOORMAT KEEP CALM AND COME IN,38133.64,5487,728,378,8.776284153005465,66.0,486.0,420.0,6.949815928558411,4859938.830000001,23.734070871842842,1.140093280359302
22720,SET OF 3 CAKE TINS PANTRY DESIGN,38108.89,7483,1385,640,5.83371408045977,67.0,333.0,266.0,5.09272885206468,4898047.720000001,23.92018002418937,1.1573674209708067
22629,SPACEBOY LUNCH BOX,37955.5,20807,1368,456,2.1693473531544596,68.0,67.0,-1.0,1.8241697505647139,4936003.220000001,24.10554007880887,1.1746415615823114
22699,ROSES REGENCY TEACUP AND SAUCER,37682.8,12861,1411,521,3.6191713483146066,69.0,160.0,91.0,2.930005442811601,4973686.0200000005,24.289568371578447,1.1919157021938158
20712,JUMBO BAG WOODLAND ANIMALS,37499.37,17710,1415,387,2.738984593837535,70.0,89.0,19.0,2.1174121964991532,5011185.390000001,24.472700862822055,1.2091898428053205
22727,ALARM CLOCK BAKELIKE RED,36543.77,9234,1363,473,4.37068115942029,71.0,256.0,185.0,3.9575232835174354,5047729.16,24.65116657143352,1.2264639834168252
22328,ROUND SNACK BOXES SET OF 4 FRUITS,35922.51,12876,1155,400,3.1904725085910655,72.0,159.0,87.0,2.7898811742777263,5083651.67,24.82659828530027,1.2437381240283296
20685,DOORMAT RED RETROSPOT,35198.96,5039,901,416,8.831219512195123,73.0,546.0,473.0,6.985306608454058,5118850.63,24.998496459429177,1.2610122646398343
21755,LOVE BUILDING BLOCK WORD,34836.020000000004,5643,1696,661,6.681397786837508,74.0,477.0,403.0,6.173315612262981,5153686.649999999,25.16862217427751,1.2782864052513387
22379,RECYCLING BAG RETROSPOT,34640.84,15765,1570,423,2.8999178774478835,75.0,113.0,38.0,2.1973257215350457,5188327.489999999,25.33779470512193,1.2955605458628434
22197,POPCORN HOLDER,34288.67,36749,803,295,1.0208363636363635,76.0,21.0,-55.0,0.9330504231407657,5222616.159999999,25.505247373220886,1.3128346864743479
48185,DOORMAT FAIRY CAKE,34191.53,5095,597,219,9.783706176961603,77.0,537.0,460.0,6.710800785083415,5256807.6899999995,25.672225646944703,1.3301088270858523
22666,RECIPE BOX PANTRY YELLOW DESIGN,33682.62,10728,1664,701,3.583942823108994,78.0,208.0,130.0,3.139692393736018,5290490.31,25.8367186000853,1.347382967697357
21523,DOORMAT FANCY FONT HOME SWEET HOME,33466.26,5077,715,271,9.214797202797202,79.0,540.0,461.0,6.591739216072484,5323956.569999999,26.000154934253217,1.3646571083088617
22630,DOLLY GIRL LUNCH BOX,33380.83,18122,1334,423,2.300874074074074,80.0,83.0,3.0,1.842005849244013,5357337.399999999,26.163174061179333,1.3819312489203661
48187,DOORMAT NEW ENGLAND,33203.79,5291,818,389,8.366121951219512,81.0,507.0,426.0,6.275522585522586,5390541.1899999995,26.32532859288026,1.3992053895318708
22382,LUNCH BAG SPACEBOY DESIGN,33049.37,19605,2109,774,1.9003522780648192,82.0,76.0,-6.0,1.6857623055343025,5423590.56,26.48672899673056,1.4164795301433755
15036,ASSORTED COLOURS SILK FAN,32967.03,44392,992,303,0.9922557905337361,83.0,13.0,-70.0,0.742634483690755,5456557.59,26.64772728370986,1.43375367075488
22726,ALARM CLOCK BAKELIKE GREEN,32609.32,7671,1273,404,4.472062256809338,84.0,325.0,241.0,4.2509868335288745,5489166.91,26.806978652715795,1.4510278113663846
22385,JUMBO BAG SPACEBOY DESIGN,32433.5,17070,1250,412,2.436019032513878,85.0,99.0,14.0,1.9000292911540715,5521600.41,26.965371384507016,1.468301951977889
82486,WOOD S/3 CABINET ANT WHITE FINISH,31594.39,3994,1072,320,8.51200184501845,86.0,689.0,603.0,7.910463194792188,5553194.8,27.119666225994273,1.4855760925893937
22139,RETROSPOT TEA SET CERAMIC 11 PC,31527.12,6168,1321,652,5.660248868778281,87.0,420.0,333.0,5.1114007782101165,5584721.92,27.273632546690763,1.5028502332008982
22077,6 RIBBONS RUSTIC CHARM,31513.109999999997,17238,1751,685,2.110567415730337,88.0,96.0,8.0,1.8281186912634875,5616235.03,27.427530447939073,1.5201243738124028
85152,HAND OVER THE CHOCOLATE SIGN,31483.7,16373,1460,486,2.30101902173913,89.0,106.0,17.0,1.9229035607402432,5647718.73,27.581284722065984,1.5373985144239073
22865,HAND WARMER OWL DESIGN,31416.04,14537,1212,566,2.3551353503184713,90.0,131.0,41.0,2.161108894544954,5679134.7700000005,27.734708570792215,1.554672655035412
23245,SET OF 3 REGENCY CAKE TINS,31118.550000000003,6345,873,472,5.883424657534246,91.0,396.0,305.0,4.904420803782506,5710253.32,27.886679592849088,1.5719467956469164
21479,WHITE SKULL HOT WATER BOTTLE,31079.8,6220,930,410,4.681708860759494,92.0,417.0,325.0,4.996752411575563,5741333.12,28.038461374819114,1.589220936258421
23199,JUMBO BAG APPLES,30450.690000000002,14908,978,344,2.5699290060851925,93.0,125.0,32.0,2.0425737858867725,5771783.8100000005,28.187170825665536,1.6064950768699258
22501,PICNIC BASKET WICKER LARGE,30339.36,2640,769,346,13.447272727272727,94.0,1021.0,927.0,11.492181818181818,5802123.170000001,28.335336583637922,1.6237692174814304
20725,LUNCH BAG RED SPOTTY,30063.27,18085,1219,499,1.9613636363636364,95.0,84.0,-11.0,1.6623317666574509,5832186.44,28.482154024305036,1.641043358092935
20679,EDWARDIAN PARASOL RED,30020.97,6149,715,271,6.662262569832403,96.0,430.0,334.0,4.8822523987640265,5862207.41,28.628764888051535,1.6583174987044393
22697,GREEN REGENCY TEACUP AND SAUCER,29952.550000000003,9625,1343,475,3.7827011070110705,97.0,245.0,148.0,3.111953246753247,5892159.96,28.775041614849844,1.6755916393159442
84946,ANTIQUE SILVER TEA GLASS ETCHED,29828.78,22032,1080,413,1.5512328767123287,98.0,61.0,-37.0,1.3538843500363107,5921988.74,28.92071389660172,1.6928657799274487
22659,LUNCH BOX I LOVE LONDON,29561.859999999997,15941,1074,293,2.3337192342752964,99.0,108.0,9.0,1.8544545511573927,5951550.600000001,29.0650826437992,1.7101399205389531
84029G,KNITTED UNION FLAG HOT WATER BOTTLE,29533.87,6830,1009,386,4.793914728682171,100.0,369.0,269.0,4.324139092240117,5981084.470000001,29.209314698608786,1.7274140611504576
20914,SET/5 RED SPOTTY LID GLASS BOWLS,29468.52,10708,884,357,3.1738530066815147,101.0,209.0,108.0,2.7520097123645875,6010552.99,29.353227609168677,1.7446882017619625
22622,BOX OF VINTAGE ALPHABET BLOCKS,29450.11,2945,571,346,11.393466898954703,102.0,916.0,814.0,10.000037351443124,6040003.100000001,29.497050612373748,1.761962342373467
47590B,PINK HAPPY BIRTHDAY BUNTING,29363.86,5738,872,428,5.73623006833713,103.0,465.0,362.0,5.117438131753224,6069366.960000001,29.64045240377261,1.7792364829849714
22158,3 HEARTS HANGING DECORATION RUSTIC,29198.280000000002,8985,718,374,3.221857923497268,104.0,260.0,156.0,3.249669449081803,6098565.240000001,29.78304556617583,1.796510623596476
82483,WOOD 2 DRAWER CABINET WHITE FINISH,29003.370000000003,4878,1123,361,6.514496466431095,105.0,564.0,459.0,5.945750307503076,6127568.610000001,29.92468686315123,1.8137847642079807
21928,JUMBO BAG SCANDINAVIAN PAISLEY,28962.829999999998,15857,880,333,2.32086809470124,106.0,110.0,4.0,1.8265012297408083,6156531.440000001,30.06613017836866,1.8310589048194852
23355,HOT WATER BOTTLE KEEP CALM,28718.8,5816,782,474,5.271557788944723,107.0,457.0,350.0,4.937895460797799,6185250.240000001,30.20638174498237,1.8483330454309899
20971,PINK BLUE FELT CRAFT TRINKET BOX,28580.97,22260,1148,490,1.4093723129836628,108.0,58.0,-50.0,1.2839609164420485,6213831.210000001,30.345960202920697,1.8656071860424943
84978,HANGING HEART JAR T-LIGHT HOLDER,28475.96,21689,1425,525,1.5126805555555554,109.0,62.0,-47.0,1.3129217575729633,6242307.170000001,30.485025832432694,1.8828813266539992
22866,HAND WARMER SCOTTY DOG DESIGN,28266.870000000003,12778,1083,530,2.3251018600531443,110.0,164.0,54.0,2.2121513538894977,6270574.040000001,30.62307034685412,1.9001554672655037
22752,SET 7 BABUSHKA NESTING BOXES,28139.45,3459,692,323,9.46467142857143,111.0,800.0,689.0,8.135140213934664,6298713.490000001,30.760492591033824,1.9174296078770081
22188,BLACK HEART CARD HOLDER,28112.03,10353,566,292,4.455873015873016,112.0,222.0,110.0,2.715351105959625,6326825.520000001,30.897780926486263,1.9347037484885126
21977,PACK OF 60 PINK PAISLEY CAKE CASES,28081.73,56061,1993,767,0.7112444444444445,113.0,8.0,-105.0,0.5009138260109524,6354907.250000002,31.034921288399826,1.9519778891000175
22467,GUMBALL COAT RACK,28059.480000000003,11868,1095,398,2.8445724572457243,114.0,183.0,69.0,2.3642972699696667,6382966.730000002,31.171952989876416,1.969252029711522
82583,HOT BATHS METAL SIGN,27981.99,12877,1176,323,2.760100166944908,115.0,158.0,43.0,2.1730208899588415,6410948.7200000025,31.30860626001546,1.9865261703230264
23201,JUMBO BAG ALPHABET,27850.83,13366,906,396,2.3900109769484086,116.0,150.0,34.0,2.0837071674397727,6438799.550000003,31.444618995192137,2.003800310934531
21212,PACK OF 72 RETROSPOT CAKE CASES,27770.72,48156,1708,772,0.7426918671248568,117.0,11.0,-106.0,0.5766824487083645,6466570.270000002,31.580240503959583,2.0210744515460353
20719,WOODLAND CHARLOTTE BAG,27598.42,24482,1576,365,1.1504794952681388,118.0,55.0,-63.0,1.1272943386978187,6494168.690000002,31.71502056583762,2.0383485921575404
21930,JUMBO STORAGE BAG SKULLS,27368.08,13390,1321,386,2.5286163051608077,119.0,149.0,30.0,2.0439193427931293,6521536.770000002,31.848675735803262,2.0556227327690446
22624,IVORY KITCHEN SCALES,27282.73,3184,1226,579,9.279365337672905,120.0,858.0,738.0,8.5686966080402,6548819.500000003,31.981914089216318,2.0728968733805493
72741,GRAND CHOCOLATECANDLE,27239.46,19712,920,510,1.7381798483206934,121.0,74.0,-47.0,1.381871956168831,6576058.960000003,32.11494112860206,2.0901710139920535
22835,HOT WATER BOTTLE I AM SO POORLY,27082.84,5302,1011,451,5.639597249508841,122.0,506.0,384.0,5.108042248208223,6603141.800000003,32.24720329618387,2.1074451546035586
22492,MINI PAINT SET VINTAGE,27056.19,42286,714,356,0.7730812324929972,123.0,14.0,-109.0,0.6398380078512983,6630197.990000003,32.37933531542207,2.124719295215063
84991,60 TEATIME FAIRY CAKE CASES,27041.21,54028,2127,822,0.6644378155117027,124.0,9.0,-115.0,0.5005036277485748,6657239.200000003,32.511394178105405,2.1419934358265675
22961,JAM MAKING SET PRINTED,26888.43,17252,1200,558,1.8915876974231087,125.0,95.0,-30.0,1.558568861581266,6684127.630000003,32.64270692206696,2.159267576438072
22734,SET OF 6 RIBBONS VINTAGE CHRISTMAS,26763.75,9772,756,444,3.2632945736434107,126.0,237.0,111.0,2.738820098239869,6710891.380000003,32.773410776892284,2.176541717049577
22386,JUMBO BAG PINK WITH WHITE SPOTS,26242.66,14202,802,358,2.151664611590629,127.0,134.0,7.0,1.847814392339107,6737134.040000003,32.90156982870192,2.1938158576610816
22149,FELTCRAFT 6 FLOWER FRIENDS,26218.97,12674,1382,684,2.382309879175551,128.0,168.0,40.0,2.0687210036294776,6763353.010000003,33.029613187668794,2.211089998272586
22867,HAND WARMER BIRD DESIGN,26117.63,11872,1054,521,2.3753406998158377,129.0,182.0,53.0,2.199935141509434,6789470.640000002,33.15716164107692,2.2283641388840905
22551,PLASTERS IN TIN SPACEBOY,25912.87,15441,1299,616,1.811910197869102,130.0,117.0,-13.0,1.678185998316171,6815383.510000003,33.28371012544803,2.245638279495595
47566B,TEA TIME PARTY BUNTING,25803.49,5801,761,350,5.292057291666667,131.0,458.0,327.0,4.44811067057404,6841187.000000003,33.40972443999464,2.2629124201071
20711,JUMBO BAG TOYS,25719.13,12650,1055,326,2.7189603024574667,132.0,170.0,38.0,2.0331328063241108,6866906.130000003,33.535326772767654,2.280186560718604
21481,FAWN BLUE HOT WATER BOTTLE,25613.45,8175,1050,439,3.761793427230047,133.0,304.0,171.0,3.13314373088685,6892519.580000003,33.66041300509219,2.2974607013301087
22507,MEMO BOARD RETROSPOT DESIGN,25603.46,5455,900,445,5.941274944567628,134.0,491.0,357.0,4.6935765352887255,6918123.040000003,33.78545045010143,2.3147348419416134
22090,PAPER BUNTING RETROSPOT,25497.960000000003,8430,921,374,3.7703779697624187,135.0,287.0,152.0,3.0246690391459077,6943621.000000003,33.909972673712915,2.332008982553118
37503,TEA TIME CAKE STAND IN GIFT BOX,25428.33,2465,522,256,11.723193116634798,136.0,1078.0,942.0,10.315752535496959,6969049.330000003,34.03415485120188,2.3492831231646227
21485,RETROSPOT HEART HOT WATER BOTTLE,25408.010000000002,5168,930,502,5.487621052631579,137.0,523.0,386.0,4.91641060371517,6994457.340000003,34.15823779363112,2.366557263776127
21108,FAIRY CAKE FLANNEL ASSORTED COLOUR,25407.27,12962,613,325,3.001073170731707,138.0,156.0,18.0,1.9601350100293164,7019864.610000002,34.28231712218515,2.3838314043876316
22087,PAPER BUNTING WHITE LACE,25389.100000000002,8475,847,314,3.4823468208092487,139.0,285.0,146.0,2.99576401179941,7045253.710000002,34.406307715451995,2.4011055449991363
84755,COLOUR GLASS T-LIGHT HOLDER HANGING,25205.13,40439,1259,524,0.8276983503534957,140.0,15.0,-125.0,0.6232876678453968,7070458.840000002,34.5293998700407,2.418379685610641
22084,PAPER CHAIN KIT EMPIRE,25163.56,8803,811,464,3.2735200974421437,141.0,268.0,127.0,2.858520958764058,7095622.400000001,34.65228901274784,2.435653826222145
85099B,JUMBO BAG RED WHITE SPOTTY,25043.62,14061,535,321,2.185128676470588,142.0,136.0,-6.0,1.7810696252044662,7120666.020000001,34.774592414654556,2.4529279668336503
20724,RED RETROSPOT CHARLOTTE BAG,24958.77,20671,1258,390,1.1285031347962382,143.0,69.0,-74.0,1.2074292487059166,7145624.790000001,34.89648144181624,2.4702021074451546
22090,PAPER BUNTING RETRO SPOTS,24933.940000000002,8292,783,367,3.557169811320755,144.0,297.0,153.0,3.006987457790642,7170558.730000001,35.0182492088139,2.4874762480566592
23173,REGENCY TEAPOT ROSES,24879.13,2766,416,248,11.119714964370546,145.0,973.0,828.0,8.994624005784527,7195437.860000001,35.13974930486547,2.5047503886681635
20972,PINK CREAM FELT CRAFT TRINKET BOX,24785.31,20496,1397,568,1.4045074415308292,146.0,70.0,-76.0,1.209275468384075,7220223.170000001,35.260791220144185,2.5220245292796686
48138,DOOR MAT UNION FLAG,24770.81,3776,674,389,7.36928888888889,147.0,726.0,579.0,6.560066207627119,7244993.98,35.3817623230033,2.539298669891173
21314,SMALL GLASS HEART TRINKET POT,24641.390000000003,11426,1066,369,2.776856343283582,148.0,194.0,46.0,2.156606861543848,7269635.37,35.50210138839041,2.5565728105026775
23203,JUMBO BAG VINTAGE DOILY,24489.08,11448,711,363,2.300598885793872,149.0,192.0,43.0,2.139157931516422,7294124.45,35.62169663035485,2.573846951114182
22722,SET OF 6 SPICE TINS PANTRY DESIGN,24459.96,5972,835,394,4.675660377358491,150.0,446.0,296.0,4.095773610180844,7318584.41,35.74114966144628,2.591121091725687
84077,WORLD WAR 2 GLIDERS ASSTD DESIGNS,24445.609999999997,106250,1021,482,0.28256835937499997,151.0,1.0,-150.0,0.23007632941176467,7343030.0200000005,35.860532612660386,2.6083952323371915
71459,HANGING JAM JAR T-LIGHT HOLDER,24440.74,30176,925,421,1.124854368932039,152.0,31.0,-121.0,0.8099396871686109,7367470.760000001,35.97989178066874,2.6256693729486957
84836,ZINC METAL HEART DECORATION,24289.33,19847,1408,662,1.3774425087108013,153.0,73.0,-80.0,1.2238287902453773,7391760.090000001,36.098511520508055,2.6429435135602004
22728,ALARM CLOCK BAKELIKE PINK,24257.31,6215,969,357,4.525836734693877,154.0,418.0,264.0,3.9030265486725666,7416017.4,36.216974886990435,2.6602176541717046
