StockCode,DescriptionClean,Revenue,Units,Orders
21136,PAINTED METAL PEARS ASSORTED,17451.45,10496,739
22557,PLASTERS IN TIN VINTAGE PAISLEY,17401.3,10369,1126
23203,JUMBO BAG DOILEY PATTERNS,17268.69,8893,514
84992,72 SWEETHEART FAIRY CAKE CASES,17259.85,34797,1460
21928,JUMBO BAG SCANDINAVIAN BLUE PAISLEY,17239.69,8411,662
84970L,SINGLE HEART ZINC T-LIGHT HOLDER,17177.04,17400,1080
21889,WOODEN BOX OF DOMINOES,17095.66,12806,1124
21527,RED RETROSPOT TRADITIONAL TEAPOT,17030.56,2337,570
22654,DELUXE SEWING KIT,16971.27,2534,597
21559,STRAWBERRY LUNCH BOX WITH CUTLERY,16891.44,6782,1041
22652,TRAVEL SEWING KIT,16794.05,9912,830
22952,60 CAKE CASES VINTAGE CHRISTMAS,16770.31,27970,1039
21164,HOME SWEET HOME METAL SIGN,16626.41,5981,721
22993,SET OF 4 PANTRY JELLY MOULDS,16478.48,12649,1073
72760B,VINTAGE CREAM 3 BASKET CAKE STAND,16409.02,1699,494
22487,WHITE WOOD GARDEN PLANT LADDER,16373.699999999999,1632,898
21843,RETRO SPOT CAKE STAND,16354.009999999998,1493,340
23301,GARDENERS KNEELING PAD KEEP CALM,16327.349999999999,8807,913
22662,LUNCH BAG DOLLY GIRL DESIGN,16213.61,9951,994
48173C,DOORMAT BLACK FLOCK,16032.710000000001,2844,320
22296,HEART IVORY TRELLIS LARGE,16027.559999999998,9719,833
22692,DOORMAT WELCOME TO OUR HOME,15965.95,2143,612
21877,HOME SWEET HOME MUG,15954.75,14054,755
22634,CHILDS BREAKFAST SET SPACEBOY,15946.55,1688,499
20685,DOOR MAT RED SPOT,15889.75,2487,413
35004C,SET OF 3 COLOURED FLYING DUCKS,15874.38,3035,355
22759,SET OF 3 NOTEBOOKS IN PARCEL,15866.56,9380,795
22837,HOT WATER BOTTLE BABUSHKA,15837.18,3398,436
22690,DOORMAT HOME SWEET HOME BLUE,15836.35,2538,439
23313,VINTAGE CHRISTMAS BUNTING,15798.66,2990,401
22635,CHILDS BREAKFAST SET DOLLY GIRL,15795.01,1660,485
84997D,PINK 3 PIECE MINI DOTS CUTLERY SET,15759.53,4353,447
84375,SET OF 20 KIDS COOKIE CUTTERS,15753.18,7576,797
22632,HAND WARMER RED RETROSPOT,15664.130000000001,7698,733
22193,RED DINER WALL CLOCK,15658.98,1850,616
22170,PICTURE FRAME WOOD TRIPLE PORTRAIT,15645.27,2385,575
22619,SET OF 6 SOLDIER SKITTLES,15620.09,4091,712
21891,TRADITIONAL WOODEN SKIPPING ROPE,15547.75,12147,838
48111,DOORMAT 3 SMILEY CATS,15437.73,2420,437
22173,METAL 4 HOOK HANGER FRENCH CHATEAU,15411.9,5026,997
85014B,RED/WHITE DOTS RUFFLED UMBRELLA,15400.28,3456,416
84378,SET OF 3 HEART COOKIE CUTTERS,15388.44,11637,1248
85014B,RED RETROSPOT UMBRELLA,15376.300000000001,2699,484
22749,FELTCRAFT PRINCESS CHARLOTTE DOLL,15354.35,3759,685
21094,SET/6 RED SPOTTY PAPER PLATES,15334.029999999999,19633,984
84997B,RED 3 PIECE MINI DOTS CUTLERY SET,15324.35,4205,493
22940,FELTCRAFT CHRISTMAS FAIRY,15282.81,3491,586
22909,SET OF 20 VINTAGE CHRISTMAS NAPKINS,15275.82,17144,1086
21975,PACK OF 60 DINOSAUR CAKE CASES,15236.619999999999,31332,1303
21165,BEWARE OF THE CAT METAL SIGN,15167.38,9360,966
21217,RED RETROSPOT ROUND CAKE TINS,15123.2,1420,465
20750,RED RETROSPOT MINI CASES,15118.47,2066,508
82582,AREA PATROLLED METAL SIGN,15110.980000000001,7479,796
35970,ZINC FOLKART SLEIGH BELLS,15072.58,8375,692
22946,WOODEN ADVENT CALENDAR CREAM,15060.57,976,275
22606,WOODEN SKITTLES GARDEN SET,14881.94,1069,374
22730,ALARM CLOCK BAKELIKE IVORY,14867.27,3702,746
21770,OPEN CLOSED METAL SIGN,14807.300000000001,2991,651
17003,BROCADE RING PURSE,14766.42,70379,457
22485,SET OF 2 WOODEN MARKET CRATES,14677.84,1101,419
21912,VINTAGE SNAKES & LADDERS,14651.33,3736,830
21217,RED SPOTTY ROUND CAKE TINS,14646.039999999999,1484,463
21380,WOODEN HAPPY BIRTHDAY GARLAND,14593.320000000002,5031,651
84050,PINK HEART SHAPE EGG FRYING PAN,14525.0,9853,715
84997D,CHILDRENS CUTLERY POLKADOT PINK,14493.640000000001,3666,358
22150,3 STRIPEY MICE FELTCRAFT,14486.55,7815,938
84997C,BLUE 3 PIECE MINI DOTS CUTLERY SET,14438.97,3970,476
21672,WHITE SPOT RED CERAMIC DRAWER KNOB,14411.13,11120,815
22384,LUNCH BAG PINK RETROSPOT,14391.72,8916,812
22352,LUNCH BOX WITH CUTLERY RETROSPOT,14348.82,5679,887
20748,KENSINGTON COFFEE SET,14266.98,1600,183
21169,YOU'RE CONFUSING ME METAL SIGN,14262.61,8856,772
21955,DOORMAT UNION JACK GUNS AND ROSES,14236.9,2349,401
23200,JUMBO BAG PEARS,14188.960000000001,7067,595
84380,SET OF 3 BUTTERFLY COOKIE CUTTERS,14076.34,10405,1114
22627,MINT KITCHEN SCALES,14016.8,1609,660
35400,WOODEN BOX ADVENT CALENDAR,13999.1,1435,419
23343,JUMBO BAG VINTAGE CHRISTMAS,13972.710000000001,6078,476
21257,VICTORIAN SEWING BOX MEDIUM,13968.48,1549,532
22236,CAKE STAND 3 TIER MAGIC GARDEN,13965.519999999999,1127,421
22271,FELTCRAFT DOLL ROSIE,13921.730000000001,4866,787
21668,RED STRIPE CERAMIC DRAWER KNOB,13912.17,10357,825
22366,DOORMAT AIRMAIL,13875.59,2089,433
22295,HEART FILIGREE DOVE LARGE,13873.539999999999,8411,706
21888,BINGO SET,13862.17,3525,828
22444,GROW YOUR OWN PLANT IN A CAN,13856.6,10135,456
21259,VICTORIAN SEWING BOX SMALL,13843.92,2293,655
21669,BLUE STRIPE CERAMIC DRAWER KNOB,13839.18,10578,805
79323P,PINK CHERRY LIGHTS,13787.93,2281,265
22621,TRADITIONAL KNITTING NANCY,13784.32,8726,875
22776,SWEETHEART CAKESTAND 3 TIER,13753.38,1378,526
22109,FULL ENGLISH BREAKFAST PLATE,13750.11,3339,643
23077,DOUGHNUT LIP GLOSS,13695.77,10395,344
47556B,TEA TIME TEA TOWELS,13691.02,5201,449
22191,IVORY DINER WALL CLOCK,13689.85,1659,500
21871,SAVE THE PLANET MUG,13654.89,11492,779
48116,DOORMAT MULTICOLOUR STRIPE,13634.35,2351,258
21390,FILIGRIS HEART WITH BUTTERFLY,13552.97,10937,588
22636,CHILDS BREAKFAST SET CIRCUS PARADE,13437.03,1619,489
C2,CARRIAGE,13426.0,268,267
23356,LOVE HOT WATER BOTTLE,13334.32,2359,476
23207,LUNCH BAG ALPHABET DESIGN,13325.55,7830,740
22207,FRYING PAN UNION FLAG,13298.57,3103,480
23108,SET OF 10 LED DOLLY LIGHTS,13290.519999999999,2219,372
21673,WHITE SPOT BLUE CERAMIC DRAWER KNOB,13272.39,10051,763
23328,SET 6 SCHOOL MILK BOTTLES IN CRATE,13269.49,2841,405
21098,CHRISTMAS TOILET ROLL,13263.93,8537,596
21704,BAG 250G SWIRLY MARBLES,13235.16,17175,568
21080,SET/20 RED RETROSPOT PAPER NAPKINS,13231.539999999999,15390,1181
22846,BREAD BIN DINER STYLE RED,13213.97,823,344
15044A,PINK PAPER PARASOL,13210.85,4964,250
48187,DOOR MAT NEW ENGLAND,13201.61,2023,464
22356,CHARLOTTE BAG PINK POLKADOT,13172.0,11222,907
75049L,LARGE CIRCULAR MIRROR MOBILE,13153.8,13968,344
22580,ADVENT CALENDAR GINGHAM SACK,13141.08,2326,496
21935,SUKI SHOULDER BAG,13103.21,7127,921
22088,PAPER BUNTING COLOURED LACE,13076.880000000001,4399,619
22553,PLASTERS IN TIN SKULLS,13013.149999999998,7818,1091
22464,HANGING METAL HEART LANTERN,12985.31,7853,787
48129,DOORMAT TOPIARY,12927.53,2087,337
84988,SET OF 72 PINK HEART PAPER DOILIES,12913.24,8305,1019
21906,PHARMACIE FIRST AID TIN,12879.460000000001,1786,424
22766,PHOTO FRAME CORNICE,12864.25,4367,640
22655,VINTAGE RED KITCHEN CABINET,12845.0,76,53
22838,3 TIER CAKE TIN RED AND CREAM,12837.46,894,263
21216,"SET 3 RETROSPOT TEA,COFFEE,SUGAR",12764.91,2384,498
22584,PACK OF 6 PANNETONE GIFT BOXES,12739.15,4989,571
22947,WOODEN ADVENT CALENDAR RED,12704.15,1011,209
22303,COFFEE MUG APPLES DESIGN,12701.630000000001,5439,540
22646,CERAMIC STRAWBERRY CAKE MONEY BANK,12654.71,8918,883
22365,DOORMAT RESPECTABLE HOUSE,12524.1,1953,323
22616,PACK OF 12 LONDON TISSUES,12460.16,39351,826
21535,RED RETROSPOT SMALL MILK JUG,12456.39,5058,815
62018,SOMBRERO,12450.85,9567,127
22623,BOX OF VINTAGE JIGSAW BLOCKS,12432.28,2313,542
22804,CANDLEHOLDER PINK HANGING HEART,12411.640000000001,4381,594
22144,CHRISTMAS CRAFT LITTLE FRIENDS,12382.47,5134,704
85014A,BLACK/BLUE DOTS RUFFLED UMBRELLA,12363.970000000001,2967,302
23174,REGENCY SUGAR BOWL GREEN,12342.43,3055,322
21671,RED SPOT CERAMIC DRAWER KNOB,12339.32,9488,727
21156,RETROSPOT CHILDRENS APRON,12324.05,6631,634
22631,CIRCUS PARADE LUNCH BOX,12239.9,6274,663
85042,ANTIQUE LILY FAIRY LIGHTS,12234.56,2694,293
15056P,EDWARDIAN PARASOL PINK,12228.92,2473,344
22082,RIBBON REEL STRIPES DESIGN,12192.05,7267,957
21080,SET/20 RED SPOTTY PAPER NAPKINS,12185.39,15688,942
22301,COFFEE MUG CAT + BIRD DESIGN,12124.78,5012,646
22192,BLUE DINER WALL CLOCK,12104.8,1426,543
21670,BLUE SPOT CERAMIC DRAWER KNOB,12074.4,8847,768
20969,RED FLORAL FELTCRAFT SHOULDER BAG,12066.52,3237,613
21937,STRAWBERRY PICNIC BAG,12038.82,4100,657
84212,"ASSORTED FLOWER COLOUR ""LEIS""",11961.49,24794,277
84987,SET OF 36 TEATIME PAPER DOILIES,11864.15,8138,812
22729,ALARM CLOCK BAKELIKE ORANGE,11864.0,2999,612
22488,NATURAL SLATE RECTANGLE CHALKBOARD,11788.06,6905,808
23300,GARDENERS KNEELING PAD CUP OF TEA,11785.99,6809,758
21428,SET3 BOOK BOX GREEN GINGHAM FLOWER,11762.93,2883,465
20750,RED/WHITE DOT MINI CASES,11748.16,1622,401
22791,T-LIGHT GLASS FLUTED ANTIQUE,11728.69,9458,434
22750,FELTCRAFT PRINCESS LOLA DOLL,11697.6,3125,647
22943,CHRISTMAS LIGHTS 10 VINTAGE BAUBLES,11696.64,2381,356
47567B,TEA TIME KITCHEN APRON,11683.27,2166,348
21485,RED SPOT HEART HOT WATER BOTTLE,11670.66,2425,455
22151,PLACE SETTING WHITE HEART,11609.19,27562,716
21326,AGED GLASS SILVER T-LIGHT HOLDER,11593.86,17770,643
23581,JUMBO BAG PAISLEY PARK,11581.83,5020,338
21260,FIRST AID TIN,11564.43,3512,534
22508,DOORSTOP RETROSPOT HEART,11561.95,2880,697
22468,BABUSHKA LIGHTS STRING OF 10,11542.6,1736,413
48185,DOOR MAT FAIRY CAKE,11532.31,1729,387
22637,PIGGY BANK RETROSPOT,11492.82,4480,599
22663,JUMBO BAG DOLLY GIRL DESIGN,11465.29,5764,688
22649,STRAWBERRY FAIRY CAKE TEAPOT,11462.58,2292,487
21172,PARTY METAL SIGN,11382.16,7686,972
22367,CHILDRENS APRON SPACEBOY DESIGN,11365.8,5738,849
