StockCode,DescriptionClean,Revenue,UnitsSold,Orders,Customers,AvgUnitPrice,RevenueRank,VolumeRank,RankDifference,RevenuePerUnit,ReturnedUnits,ReturnValue,ReturnOrders,ReturnRate
79323S,SILVER CHERRY LIGHTS,2084.32,334,56,38,7.9071428571428575,1813.0,3134.0,1321.0,6.240479041916168,158.0,976.8000000000001,22.0,47.30538922155689
21279,VINTAGE KITCHEN PRINT FRUITS,1621.83,3527,101,51,3.595346534653465,2104.0,779.0,-1325.0,0.4598327190246668,1639.0,425.84999999999997,6.0,46.47008789339382
22903,CALENDAR FAMILY FAVOURITES,1994.96,725,78,35,3.0410256410256413,1870.0,2415.0,545.0,2.7516689655172413,320.0,880.0,2.0,44.13793103448276
21096,SET/6 FRUIT SALAD PAPER PLATES,2711.7099999999996,15919,143,91,0.6567832167832168,1528.0,109.0,-1419.0,0.1703442427288146,7008.0,911.04,1.0,44.02286575789937
22920,HERB MARKER BASIL,2199.19,3478,252,138,0.8639763779527558,1752.0,795.0,-957.0,0.6323145485911443,1527.0,841.0500000000001,2.0,43.90454284071305
21278,VINTAGE KITCHEN PRINT PUDDINGS,1654.45,2758,118,63,3.509159663865546,2077.0,978.0,-1099.0,0.5998730964467005,1208.0,320.4,3.0,43.79985496736766
21088,SET/6 FRUIT SALAD PAPER CUPS,1816.73,16615,136,95,0.47226277372262776,1974.0,105.0,-1869.0,0.10934276256394825,7140.0,572.52,2.0,42.973216972615106
21082,SET/20 FRUIT SALAD PAPER NAPKINS,1960.45,7183,163,94,1.0707272727272727,1892.0,345.0,-1547.0,0.2729291382430739,3074.0,523.94,2.0,42.795489349853824
21281,VINTAGE KITCHEN PRINT SEAFOOD,1716.8,3680,67,34,3.4729850746268656,2037.0,754.0,-1283.0,0.46652173913043476,1536.0,384.0,1.0,41.73913043478261
21280,VINTAGE KITCHEN PRINT VEGETABLES,1800.44,3333,70,44,2.9934285714285713,1983.0,836.0,-1147.0,0.5401860186018602,1248.0,312.0,1.0,37.44374437443744
37340,MULTICOLOUR SPRING FLOWER MUG,3881.33,13665,204,79,3.3486341463414635,1153.0,146.0,-1007.0,0.28403439443834616,4996.0,501.22000000000014,4.0,36.56055616538602
79323GR,GREEN CHERRY LIGHTS,3209.36,532,83,60,7.097469879518073,1344.0,2721.0,1377.0,6.032631578947369,194.0,1168.5,37.0,36.46616541353384
79323W,WHITE CHERRY LIGHTS,18048.72,3004,349,174,7.03,225.0,903.0,678.0,6.008229027962717,1088.0,6421.1,124.0,36.21837549933422
85014C,BLUE/BROWN DOTS RUFFLED UMBRELLA,2270.73,547,72,55,6.527916666666666,1710.0,2695.0,985.0,4.151243144424131,192.0,576.0,1.0,35.10054844606947
22341,LOVE GARLAND PAINTED ZINC,5698.889999999999,3467,240,128,2.3590495867768593,821.0,797.0,-24.0,1.6437525237957886,1196.0,1858.1999999999998,9.0,34.49668301124892
23064,CINDERELLA CHANDELIER,3717.56,221,23,20,45.48739130434783,1199.0,3517.0,2318.0,16.821538461538463,71.0,1514.05,10.0,32.126696832579185
79323LP,LIGHT PINK CHERRY LIGHTS,8481.19,1433,170,107,6.871764705882353,564.0,1684.0,1120.0,5.918485694347523,458.0,2702.8,59.0,31.960921144452197
79323P,PINK CHERRY LIGHTS,13787.93,2281,265,132,7.28390977443609,324.0,1178.0,854.0,6.044686540990794,693.0,4021.35,86.0,30.38141166155195
84347,ROTATING SILVER ANGELS T-LIGHT HLDR,71300.4,31409,756,300,3.3425352112676054,13.0,27.0,14.0,2.2700627208761817,9381.0,330.45000000000005,6.0,29.86723550574676
72802B,OCEAN SCENT CANDLE IN JEWELLED BOX,4258.97,1559,212,119,4.411596244131455,1068.0,1587.0,519.0,2.731860166773573,458.0,679.24,9.0,29.37780628608082
47566B,TEA TIME PARTY BUNTING,25803.49,5801,761,350,5.292057291666667,131.0,458.0,327.0,4.44811067057404,1635.0,4490.5,11.0,28.184795724875023
22103,MIRROR MOSAIC T-LIGHT HOLDER ROUND,1760.64,1746,71,43,2.047042253521127,2003.0,1453.0,-550.0,1.008384879725086,483.0,203.31,4.0,27.66323024054983
21749,LARGE RED RETROSPOT WINDMILL,5426.06,2712,234,133,2.503675213675214,869.0,997.0,128.0,2.000759587020649,732.0,1356.7,7.0,26.991150442477874
21735,TWO DOOR CURIO CABINET,11112.85,853,262,139,15.352824427480916,421.0,2251.0,1830.0,13.027960140679953,224.0,2535.6,37.0,26.260257913247365
22670,FRENCH WC SIGN BLUE METAL,5510.57,4432,425,218,1.5685416666666667,846.0,624.0,-222.0,1.2433596570397112,1160.0,1340.56,5.0,26.173285198555956
22313,OFFICE MUG WARMER PINK,3146.07,985,137,74,4.273453237410072,1369.0,2093.0,724.0,3.193979695431472,252.0,647.4,2.0,25.583756345177665
22071,SMALL WHITE RETROSPOT MUG IN BOX,2929.75,1147,175,139,3.8278531073446325,1438.0,1912.0,474.0,2.5542720139494333,288.0,188.0,7.0,25.108979947689626
20840,FRENCH FLORAL CUSHION COVER,1419.09,885,93,50,2.1470212765957446,2267.0,2210.0,-57.0,1.6034915254237287,219.0,365.85,3.0,24.74576271186441
21108,FAIRY CAKE FLANNEL ASSORTED COLOUR,25407.27,12962,613,325,3.001073170731707,138.0,156.0,18.0,1.9601350100293164,3159.0,6614.370000000001,4.0,24.371239006326185
85232B,SET OF 3 BABUSHKA STACKING TINS,5465.39,1093,168,94,5.612958579881657,854.0,1974.0,1120.0,5.000356816102471,263.0,1297.6499999999999,10.0,24.06221408966148
22106,MIRROR MOSAIC HURRICANE LAMP,1589.98,509,79,29,5.470759493670886,2127.0,2750.0,623.0,3.123732809430255,121.0,156.75,2.0,23.772102161100197
72802C,VANILLA SCENT CANDLE JEWELLED BOX,6047.5599999999995,2184,269,143,4.5729520295202954,775.0,1215.0,440.0,2.7690293040293037,506.0,584.06,5.0,23.168498168498168
23462,ROCOCO WALL MIRROR WHITE,1567.1399999999999,78,45,42,20.713555555555555,2141.0,4259.0,2118.0,20.09153846153846,18.0,350.09999999999997,12.0,23.076923076923077
22085,PAPER CHAIN KIT SKULLS,6883.87,2538,230,141,3.188311688311688,678.0,1051.0,373.0,2.7123207249802994,585.0,1501.75,4.0,23.04964539007092
22199,FRYING PAN RED POLKADOT,4890.14,1211,189,90,5.052894736842106,951.0,1854.0,903.0,4.0381007431874485,275.0,1032.75,5.0,22.708505367464905
20829,GLITTER HANGING BUTTERFLY STRING,9825.02,4820,481,207,2.4219755600814663,492.0,572.0,80.0,2.0383858921161826,1094.0,1801.96,14.0,22.69709543568465
85036C,ROSE 1 WICK MORRIS BOXED CANDLE,1629.02,878,128,99,3.032748091603054,2098.0,2224.0,126.0,1.855375854214123,193.0,232.25,3.0,21.981776765375855
85063,CREAM SWEETHEART MAGAZINE RACK,5426.74,308,180,104,18.89911111111111,868.0,3220.0,2352.0,17.619285714285713,66.0,1060.7,38.0,21.428571428571427
22191,IVORY DINER WALL CLOCK,13689.85,1659,500,282,8.788469184890657,330.0,1515.0,1185.0,8.251868595539483,345.0,2662.2000000000003,17.0,20.795660036166367
85220,SMALL FAIRY CAKE FRIDGE MAGNETS,6875.0,12236,5,4,1.3,681.0,174.0,-507.0,0.5618666230794377,2513.0,3645.65,2.0,20.53775743707094
22070,SMALL RED RETROSPOT MUG IN BOX,4462.95,1511,236,156,4.056386554621849,1030.0,1623.0,593.0,2.953639973527465,301.0,355.29,8.0,19.920582395764395
22990,COTTON APRON PANTRY DESIGN,2917.43,633,164,117,5.315301204819277,1443.0,2558.0,1115.0,4.6088941548183255,126.0,553.6999999999999,11.0,19.90521327014218
22273,FELTCRAFT DOLL MOLLY,20150.99,7355,810,423,3.300158536585366,202.0,340.0,138.0,2.739767505098573,1464.0,3562.7999999999997,8.0,19.90482664853841
22363,GLASS JAR MARMALADE,2303.3900000000003,785,173,99,3.559090909090909,1689.0,2336.0,647.0,2.934254777070064,152.0,400.40000000000003,13.0,19.363057324840767
22691,DOORMAT WELCOME SUNRISE,5198.6,759,219,124,8.87840182648402,896.0,2361.0,1465.0,6.849275362318841,143.0,665.35,3.0,18.84057971014493
22804,PINK HANGING HEART T-LIGHT HOLDER,1664.16,880,76,50,3.3044736842105267,2072.0,2220.0,148.0,1.8910909090909092,164.0,419.8,3.0,18.636363636363637
21679,SKULLS STICKERS,4034.5099999999998,4871,370,181,1.0574932614555255,1116.0,565.0,-551.0,0.8282714021761445,900.0,652.6800000000001,5.0,18.476698829809074
22991,GIRAFFE WOODEN RULER,7604.889999999999,3887,274,185,2.273655913978495,622.0,708.0,86.0,1.956493439670697,714.0,1185.8999999999999,6.0,18.368922047851814
22618,COOKING SET RETROSPOT,6984.349999999999,718,242,180,10.469341563786006,665.0,2425.0,1760.0,9.7275069637883,131.0,1226.07,40.0,18.245125348189415
21439,BASKET OF TOADSTOOLS,2837.54,2259,240,112,1.5492181069958846,1470.0,1185.0,-285.0,1.2561044710048694,408.0,432.48,1.0,18.06108897742364
71477,COLOUR GLASS. STAR T-LIGHT HOLDER,41099.79,14077,757,298,3.686446173800259,57.0,135.0,78.0,2.9196412587909357,2520.0,6966.66,60.0,17.901541521631028
22101,MIRROR MOSAIC VOTIVE HOLDER,2790.27,1909,116,44,2.3282905982905984,1484.0,1356.0,-128.0,1.461639601885804,325.0,128.46,2.0,17.024620220010476
11001,ASSTD DESIGN RACING CAR PEN,7408.65,4829,251,118,1.8730078125,634.0,571.0,-63.0,1.534199627252019,811.0,1093.39,11.0,16.794367363843445
22933,BAKING MOULD EASTER EGG MILK CHOC,2585.92,940,122,82,3.48869918699187,1578.0,2150.0,572.0,2.7509787234042555,156.0,337.80000000000007,2.0,16.595744680851062
18097C,WHITE TALL PORCELAIN T-LIGHT HOLDER,3924.92,1763,211,110,2.8269339622641505,1142.0,1444.0,302.0,2.226273397617697,292.0,571.8000000000001,2.0,16.56267725467952
20975,12 PENCILS SMALL TUBE RED SPOTTY,5278.03,8267,368,220,0.7499739583333334,888.0,299.0,-589.0,0.6384456271924519,1307.0,749.5500000000001,7.0,15.809846377162213
22655,VINTAGE RED KITCHEN CABINET,12845.0,76,53,45,186.32075471698113,359.0,4281.0,3922.0,169.01315789473685,12.0,2320.5,10.0,15.789473684210526
22503,CABIN BAG VINTAGE PAISLEY,3178.02,141,54,29,25.080925925925925,1354.0,3849.0,2495.0,22.539148936170214,22.0,546.6999999999999,6.0,15.602836879432624
20733,GOLD MINI TAPE MEASURE,1452.2,1927,294,67,0.8517627118644067,2234.0,1344.0,-890.0,0.7536066424494032,300.0,216.0,1.0,15.568240788790867
20772,GARDEN PATH JOURNAL,1848.73,970,161,105,2.5111111111111106,1960.0,2113.0,153.0,1.9059072164948454,151.0,320.25000000000006,3.0,15.56701030927835
22838,3 TIER CAKE TIN RED AND CREAM,12837.46,894,263,177,16.882623574144485,360.0,2206.0,1846.0,14.359574944071587,137.0,1801.75,21.0,15.324384787472036
21849,SILVER DIAMANTE PEN IN GIFT BOX,1483.51,633,134,46,3.7198529411764705,2200.0,2558.0,358.0,2.3436176935229067,96.0,120.0,1.0,15.165876777251185
22461,SAVOY ART DECO CLOCK,3607.81,410,146,82,12.368561643835616,1224.0,2955.0,1731.0,8.799536585365853,62.0,625.6999999999999,31.0,15.121951219512194
22333,RETROSPOT PARTY BAG + STICKER SET,8857.32,5648,409,210,1.8650121065375302,541.0,476.0,-65.0,1.5682223796033994,851.0,1250.55,15.0,15.067280453257789
21056,DOCTOR'S BAG SOFT TOY,4961.33,545,195,119,9.701076923076922,943.0,2699.0,1756.0,9.103357798165138,82.0,693.9,4.0,15.045871559633028
22564,ALPHABET STENCIL CRAFT,5221.4,4570,343,208,1.3229360465116278,892.0,608.0,-284.0,1.1425382932166301,679.0,721.07,5.0,14.857768052516413
85103,SILVER T-LIGHT SETTING,2153.43,317,87,46,7.735057471264368,1772.0,3185.0,1413.0,6.793154574132491,46.0,280.1,5.0,14.511041009463725
15034,PAPER POCKET TRAVELING FAN,1416.2600000000002,10153,255,123,0.357265625,2270.0,224.0,-2046.0,0.13949177582980402,1448.0,116.06000000000002,6.0,14.261794543484685
21069,VINTAGE BILLBOARD TEA MUG,5404.360000000001,5099,279,110,1.6897517730496454,872.0,536.0,-336.0,1.059886252206315,726.0,770.8900000000001,4.0,14.238085899195921
10002,INFLATABLE POLITICAL GLOBE,6942.26,8671,362,164,0.9791553133514985,670.0,274.0,-396.0,0.8006296851574213,1223.0,883.5500000000001,7.0,14.104486218429246
22333,RETRO SPORT PARTY BAG + STICKER SET,5370.08,3444,254,159,1.8630196078431371,877.0,807.0,-70.0,1.5592566782810684,474.0,695.6999999999999,6.0,13.763066202090593
22992,REVOLVER WOODEN RULER,10373.99,5233,348,217,2.2714044943820224,462.0,518.0,56.0,1.9824173514236576,716.0,1193.4,8.0,13.682400152875978
90167,BEADED LOVE HEART JEWELLERY SET,1801.17,2197,111,53,1.088198198198198,1982.0,1212.0,-770.0,0.8198315885298134,300.0,217.56,2.0,13.654984069185252
21207,SKULL AND CROSSBONES GARLAND,5597.419999999999,3601,282,167,1.7603886925795054,833.0,767.0,-66.0,1.5544071091363507,489.0,709.25,4.0,13.579561232990836
22932,BAKING MOULD TOFFEE CUP CHOCOLATE,2000.88,884,72,51,2.708472222222222,1868.0,2211.0,343.0,2.2634389140271494,120.0,262.8,2.0,13.574660633484163
48185,DOORMAT FAIRY CAKE,34191.53,5095,597,219,9.783706176961603,77.0,537.0,460.0,6.710800785083415,688.0,4650.2,6.0,13.50343473994112
51008,AFGHAN SLIPPER SOCK PAIR,8378.8,2604,80,44,3.4,573.0,1032.0,459.0,3.217665130568356,349.0,1054.05,5.0,13.402457757296467
85098B,BLUE FLYING SINGING CANARY,1456.94,366,114,61,4.695043478260869,2228.0,3057.0,829.0,3.9807103825136614,49.0,154.15,6.0,13.387978142076504
21112,"SWISS ROLL TOWEL, PINK SPOTS",3570.57,1516,150,86,3.2843708609271522,1237.0,1618.0,381.0,2.355257255936676,198.0,507.29999999999995,3.0,13.060686015831136
84078A,SET/4 WHITE RETRO STORAGE CUBES,43844.96,1128,328,151,45.85689024390244,45.0,1930.0,1885.0,38.86964539007092,147.0,5187.650000000001,20.0,13.031914893617023
15056P,EDWARDIAN PARASOL PINK,12228.92,2473,344,186,6.234869565217392,379.0,1073.0,694.0,4.94497371613425,313.0,1091.05,9.0,12.656692276587142
21381,MINI WOODEN HAPPY BIRTHDAY GARLAND,8568.0,5104,532,234,2.192467771639042,553.0,534.0,-19.0,1.6786833855799372,603.0,949.71,6.0,11.814263322884013
21380,WOODEN HAPPY BIRTHDAY GARLAND,14593.320000000002,5031,651,325,3.406554878048781,298.0,547.0,249.0,2.9006797853309485,582.0,1601.7,6.0,11.568276684555755
20971,PINK BLUE FELT CRAFT TRINKET BOX,28580.97,22260,1148,490,1.4093723129836628,108.0,58.0,-50.0,1.2839609164420485,2571.0,2739.3199999999997,12.0,11.549865229110512
22922,FRIDGE MAGNETS US DINER ASSORTED,1789.1999999999998,2073,113,82,1.6745132743362832,1990.0,1275.0,-715.0,0.8630969609261938,234.0,183.3,5.0,11.287988422575976
22332,SKULLS PARTY BAG + STICKER SET,6520.549999999999,4158,381,233,1.8224675324675323,722.0,665.0,-57.0,1.568193843193843,458.0,669.3,6.0,11.014911014911014
21686,MEDINA STAMPED METAL STOOL,2460.1400000000003,65,33,10,39.29515151515152,1626.0,4377.0,2751.0,37.8483076923077,7.0,249.64999999999998,2.0,10.76923076923077
21314,SMALL GLASS HEART TRINKET POT,24641.390000000003,11426,1066,369,2.776856343283582,148.0,194.0,46.0,2.156606861543848,1228.0,2296.8,66.0,10.747418169088045
37449,CERAMIC CAKE STAND + HANGING CAKES,22333.3,2382,477,205,11.180564853556485,172.0,1118.0,946.0,9.375860621326616,255.0,2234.15,71.0,10.70528967254408
21843,RED RETROSPOT CAKE STAND,48564.29,4637,1188,502,12.246470588235294,35.0,598.0,563.0,10.473213284451154,494.0,4273.9,106.0,10.653439723959456
23250,VINTAGE RED TRIM ENAMEL BOWL,1501.03,1155,108,63,1.4721296296296298,2188.0,1902.0,-286.0,1.2995930735930736,121.0,141.8,8.0,10.476190476190476
23170,REGENCY TEA PLATE ROSES,11097.249999999998,6857,445,224,2.075707865168539,423.0,364.0,-59.0,1.6183826746390546,718.0,1046.3,12.0,10.471051480239172
22935,BAKING MOULD ROSE MILK CHOCOLATE,2066.82,690,65,46,3.8047692307692307,1830.0,2473.0,643.0,2.995391304347826,72.0,198.0,1.0,10.434782608695652
22797,CHEST OF DRAWERS GINGHAM HEART,4205.5599999999995,242,140,98,18.55292857142857,1080.0,3439.0,2359.0,17.378347107438014,25.0,411.75,15.0,10.330578512396695
21426,WOODLAND STORAGE BOX SMALL,1647.07,1028,99,44,3.2193069306930693,2081.0,2044.0,-37.0,1.6022081712062257,104.0,161.4,10.0,10.116731517509727
21175,GIN + TONIC DIET METAL SIGN,42613.98,20178,1609,543,2.5423874151758175,50.0,71.0,21.0,2.1119030627416,2035.0,3785.58,12.0,10.08524135196749
84968A,SET OF 16 VINTAGE ROSE CUTLERY,4026.8399999999997,339,119,44,13.738,1118.0,3127.0,2009.0,11.878584070796459,34.0,390.29999999999995,4.0,10.029498525073747
21481,FAWN BLUE HOT WATER BOTTLE,25613.45,8175,1050,439,3.761793427230047,133.0,304.0,171.0,3.13314373088685,802.0,2065.9,15.0,9.81039755351682
22150,3 STRIPEY MICE FELTCRAFT,14486.55,7815,938,505,2.1962277951933125,301.0,322.0,21.0,1.8536852207293666,764.0,1264.8,9.0,9.776071657069737
22769,CHALKBOARD KITCHEN ORGANISER,3656.86,174,45,32,29.071555555555555,1214.0,3696.0,2482.0,21.016436781609197,17.0,400.15,8.0,9.770114942528735
85174,S/4 CACTI CANDLES,7193.46,1459,357,126,6.645643835616438,650.0,1660.0,1010.0,4.930404386566141,141.0,607.65,10.0,9.664153529814943
23228,FILIGREE HEART BIRD WHITE,1960.0,1492,125,58,1.7907142857142857,1893.0,1633.0,-260.0,1.3136729222520107,144.0,149.76,1.0,9.651474530831099
22125,UNION JACK HOT WATER BOTTLE,4089.09,653,183,117,6.847883597883598,1102.0,2535.0,1433.0,6.262006125574273,63.0,314.85,3.0,9.647779479326186
35924,HANGING FAIRY CAKE DECORATION,4049.4,2164,188,65,2.7565104166666665,1114.0,1227.0,113.0,1.8712569316081331,205.0,347.68,11.0,9.473197781885398
22904,CALENDAR PAPER CUT DESIGN,10755.050000000001,3467,463,269,3.3329550321199144,444.0,797.0,353.0,3.1021199884626482,322.0,885.9,3.0,9.287568503028556
22139,RETRO SPOT TEA SET CERAMIC 11 PC,21301.04,4438,771,465,5.442951030927835,186.0,622.0,436.0,4.7996935556557005,410.0,1779.6000000000001,29.0,9.238395673726904
22138,BAKING SET 9 PIECE RETROSPOT,45882.01,9366,1914,1137,5.3669730010384225,41.0,252.0,211.0,4.898783899209908,859.0,4052.95,209.0,9.171471279094598
21655,HANGING RIDGE GLASS T-LIGHT HOLDER,2277.5,1396,89,56,1.9567415730337079,1705.0,1713.0,8.0,1.6314469914040115,128.0,201.92000000000002,6.0,9.169054441260744
37495,FAIRY CAKE BIRTHDAY CANDLE SET,5732.6,1560,330,206,4.146737160120845,816.0,1586.0,770.0,3.67474358974359,142.0,493.2,33.0,9.102564102564102
23167,SMALL CERAMIC TOP STORAGE JAR,4476.01,5847,231,129,1.0025210084033613,1029.0,453.0,-576.0,0.7655224901658971,525.0,365.19,9.0,8.978963571062083
22762,CUPBOARD 3 DRAWER MA CAMPAGNE,3276.62,204,133,91,17.33932330827068,1319.0,3579.0,2260.0,16.06186274509804,18.0,244.9,7.0,8.823529411764707
21830,ASSORTED CREEPY CRAWLIES,3185.6,7658,256,151,0.46162790697674416,1351.0,327.0,-1024.0,0.4159832854531209,672.0,247.68,4.0,8.775137111517367
21648,ASSORTED TUTTI FRUTTI SMALL PURSE,3956.48,2940,231,96,1.8345493562231758,1137.0,919.0,-218.0,1.3457414965986394,256.0,274.4,8.0,8.707482993197278
22930,BAKING MOULD HEART MILK CHOCOLATE,2846.8,1108,189,120,3.073350785340314,1464.0,1952.0,488.0,2.5693140794223828,96.0,201.6,1.0,8.664259927797833
23157,SET OF 6 NATIVITY MAGNETS,5143.06,2797,164,111,2.3477058823529413,907.0,959.0,52.0,1.8387772613514481,240.0,444.0,1.0,8.580622095101894
22776,SWEETHEART 3 TIER CAKE STAND,3371.58,284,158,99,12.072264150943397,1293.0,3296.0,2003.0,11.871760563380281,24.0,219.95,11.0,8.450704225352112
22236,CAKE STAND 3 TIER MAGIC GARDEN,13965.519999999999,1127,421,251,13.37624703087886,315.0,1932.0,1617.0,12.391765749778171,95.0,1121.25,47.0,8.429458740017747
21477,STRING OF 20 ROSE LIGHTS,3248.94,273,45,35,14.872666666666666,1329.0,3329.0,2000.0,11.900879120879122,23.0,257.24999999999994,8.0,8.424908424908425
85136C,RED SHARK HELICOPTER,1451.69,179,122,70,8.129180327868852,2236.0,3677.0,1441.0,8.11,15.0,119.77,3.0,8.379888268156424
22673,FRENCH GARDEN SIGN BLUE METAL,1667.5,1320,195,130,1.4474999999999998,2069.0,1760.0,-309.0,1.2632575757575757,109.0,118.01,3.0,8.257575757575758
84944,SET OF 6 KASHMIR FOLKART BAUBLES,3153.88,1135,194,122,3.8585204081632654,1365.0,1923.0,558.0,2.778748898678414,93.0,244.45,5.0,8.193832599118943
21614,SET OF 12 ROSE BOTANICAL T-LIGHTS,4538.17,1627,194,123,3.0643147208121833,1017.0,1537.0,520.0,2.789287031346036,131.0,336.05,3.0,8.051628764597417
23494,VINTAGE DOILY DELUXE SEWING KIT,5354.01,809,205,145,6.812864077669903,881.0,2305.0,1424.0,6.618059332509271,65.0,386.75,11.0,8.034610630407911
21258,VICTORIAN SEWING BOX LARGE,21386.559999999998,1509,528,186,16.944877126654063,184.0,1624.0,1440.0,14.172670642809805,121.0,1360.1499999999999,42.0,8.018555334658714
22776,SWEETHEART CAKESTAND 3 TIER,13753.38,1378,526,347,10.917756653992395,326.0,1726.0,1400.0,9.980682148040637,110.0,1010.4,40.0,7.982583454281568
85071A,BLUE CHARLIE+LOLA PERSONAL DOORSIGN,1415.69,1907,147,106,1.2626845637583894,2271.0,1358.0,-913.0,0.7423649711588883,152.0,448.4,2.0,7.970634504457262
21537,RED RETROSPOT PUDDING BOWL,3065.45,712,183,133,4.643422459893048,1400.0,2438.0,1038.0,4.305407303370786,56.0,213.0,8.0,7.865168539325842
22950,36 DOILIES VINTAGE CHRISTMAS,10823.97,7851,342,251,1.5666184971098265,438.0,316.0,-122.0,1.3786740542606037,612.0,772.2,4.0,7.795185326709973
21332,MOROCCAN BEATEN METAL MIRROR,1644.17,270,50,36,11.9834,2083.0,3342.0,1259.0,6.089518518518519,21.0,109.75,5.0,7.777777777777778
22804,CANDLEHOLDER PINK HANGING HEART,12411.640000000001,4381,594,325,3.1330198019801982,371.0,632.0,261.0,2.833060944989729,340.0,875.0,8.0,7.760785208856426
21877,HOME SWEET HOME MUG,15954.75,14054,755,323,1.5780845442536326,258.0,137.0,-121.0,1.1352461932545894,1086.0,1176.8200000000002,23.0,7.727337412836204
22835,HOT WATER BOTTLE I AM SO POORLY,27082.84,5302,1011,451,5.639597249508841,122.0,506.0,384.0,5.108042248208223,408.0,1744.8,11.0,7.695209354960392
23111,PARISIENNE SEWING BOX,3839.2400000000002,312,138,80,13.468920863309354,1163.0,3204.0,2041.0,12.30525641025641,24.0,283.2,16.0,7.6923076923076925
22177,5 HOOK BLACKBOARD ORGANISER,3101.46,325,125,90,11.89312,1383.0,3160.0,1777.0,9.542953846153846,25.0,227.0,10.0,7.6923076923076925
22107,PIZZA PLATE IN BOX,4840.59,1240,369,118,4.6385522788203755,958.0,1835.0,877.0,3.903701612903226,95.0,330.71000000000004,12.0,7.661290322580645
22570,FELTCRAFT CUSHION RABBIT,20901.1,5631,807,351,4.310666666666666,190.0,479.0,289.0,3.7117918664535603,431.0,1464.33,6.0,7.654057893802167
23155,KNICKERBOCKERGLORY MAGNET ASSORTED,1904.7700000000002,2221,135,84,1.472074074074074,1926.0,1201.0,-725.0,0.8576181900045026,169.0,129.71,14.0,7.609185051778478
84459A,PINK METAL CHICKEN HEART,2041.69,1263,201,96,2.3394117647058823,1841.0,1805.0,-36.0,1.6165399841646872,96.0,143.04,5.0,7.600950118764846
84270,ASSTD DESIGN BUBBLE GUM RING,4824.3,22936,476,249,0.2478361344537815,959.0,56.0,-903.0,0.2103374607603767,1740.0,293.40000000000003,7.0,7.586327171259157
23075,PARLOUR CERAMIC WALL HOOK,1869.0,450,75,56,4.255066666666667,1954.0,2863.0,909.0,4.153333333333333,34.0,141.10000000000002,6.0,7.555555555555555
21878,PACK OF 6 SANDCASTLE FLAGS ASSORTED,4586.48,5586,403,225,1.0591707317073171,1006.0,482.0,-524.0,0.8210669530970282,421.0,304.81,3.0,7.536698890082348
22635,CHILDS BREAKFAST SET DOLLY GIRL,15795.01,1660,485,325,10.30381930184805,266.0,1513.0,1247.0,9.515066265060241,124.0,1113.4499999999998,25.0,7.46987951807229
22360,GLASS JAR ENGLISH CONFECTIONERY,7529.6,2507,429,208,3.7358700696055687,627.0,1061.0,434.0,3.003430394894296,185.0,518.5500000000001,38.0,7.379337854008776
