StockCode,DescriptionClean,Revenue,UnitsSold,Orders,Customers,AvgUnitPrice,RevenuePerUnit,ReturnedUnits,ReturnValue,ReturnRate
22139,RETROSPOT TEA SET CERAMIC 11 PC,31527.12,6168,1321,652,5.660248868778281,5.1114007782101165,50.0,234.9,0.8106355382619975
22077,6 RIBBONS RUSTIC CHARM,31513.109999999997,17238,1751,685,2.110567415730337,1.8281186912634875,117.0,193.04999999999998,0.6787330316742082
85152,HAND OVER THE CHOCOLATE SIGN,31483.7,16373,1460,486,2.30101902173913,1.9229035607402432,101.0,191.51000000000002,0.6168692359372137
22865,HAND WARMER OWL DESIGN,31416.04,14537,1212,566,2.3551353503184713,2.161108894544954,126.0,264.35,0.8667538006466259
23245,SET OF 3 REGENCY CAKE TINS,31118.550000000003,6345,873,472,5.883424657534246,4.904420803782506,90.0,421.5,1.4184397163120568
21479,WHITE SKULL HOT WATER BOTTLE,31079.8,6220,930,410,4.681708860759494,4.996752411575563,196.0,677.1800000000001,3.1511254019292605
23199,JUMBO BAG APPLES,30450.690000000002,14908,978,344,2.5699290060851925,2.0425737858867725,723.0,1309.25,4.849745103300242
22501,PICNIC BASKET WICKER LARGE,30339.36,2640,769,346,13.447272727272727,11.492181818181818,131.0,1158.45,4.962121212121212
20725,LUNCH BAG RED SPOTTY,30063.27,18085,1219,499,1.9613636363636364,1.6623317666574509,335.0,493.34999999999997,1.8523638374343379
20679,EDWARDIAN PARASOL RED,30020.97,6149,715,271,6.662262569832403,4.8822523987640265,18.0,107.1,0.29273052528866483
22697,GREEN REGENCY TEACUP AND SAUCER,29952.550000000003,9625,1343,475,3.7827011070110705,3.111953246753247,184.0,506.80000000000007,1.9116883116883114
84946,ANTIQUE SILVER TEA GLASS ETCHED,29828.78,22032,1080,413,1.5512328767123287,1.3538843500363107,134.0,153.82,0.6082062454611474
22659,LUNCH BOX I LOVE LONDON,29561.859999999997,15941,1074,293,2.3337192342752964,1.8544545511573927,336.0,572.9999999999999,2.107772410764695
84029G,KNITTED UNION FLAG HOT WATER BOTTLE,29533.87,6830,1009,386,4.793914728682171,4.324139092240117,60.0,219.7,0.8784773060029283
20914,SET/5 RED SPOTTY LID GLASS BOWLS,29468.52,10708,884,357,3.1738530066815147,2.7520097123645875,284.0,741.8000000000001,2.6522226372805378
22622,BOX OF VINTAGE ALPHABET BLOCKS,29450.11,2945,571,346,11.393466898954703,10.000037351443124,61.0,559.35,2.071307300509338
47590B,PINK HAPPY BIRTHDAY BUNTING,29363.86,5738,872,428,5.73623006833713,5.117438131753224,57.0,293.05,0.9933774834437087
22158,3 HEARTS HANGING DECORATION RUSTIC,29198.280000000002,8985,718,374,3.221857923497268,3.249669449081803,82.0,239.9,0.912632164718976
82483,WOOD 2 DRAWER CABINET WHITE FINISH,29003.370000000003,4878,1123,361,6.514496466431095,5.945750307503076,283.0,1683.8500000000001,5.801558015580156
21928,JUMBO BAG SCANDINAVIAN PAISLEY,28962.829999999998,15857,880,333,2.32086809470124,1.8265012297408083,30.0,57.0,0.18919089361165417
23355,HOT WATER BOTTLE KEEP CALM,28718.8,5816,782,474,5.271557788944723,4.937895460797799,96.0,417.6,1.6506189821182942
20971,PINK BLUE FELT CRAFT TRINKET BOX,28580.97,22260,1148,490,1.4093723129836628,1.2839609164420485,2571.0,2739.3199999999997,11.549865229110512
84978,HANGING HEART JAR T-LIGHT HOLDER,28475.96,21689,1425,525,1.5126805555555554,1.3129217575729633,361.0,417.72,1.6644381944764628
22866,HAND WARMER SCOTTY DOG DESIGN,28266.870000000003,12778,1083,530,2.3251018600531443,2.2121513538894977,135.0,259.50000000000006,1.056503365158867
22752,SET 7 BABUSHKA NESTING BOXES,28139.45,3459,692,323,9.46467142857143,8.135140213934664,224.0,1761.2,6.475860075166233
22188,BLACK HEART CARD HOLDER,28112.03,10353,566,292,4.455873015873016,2.715351105959625,5.0,19.75,0.04829518014102192
21977,PACK OF 60 PINK PAISLEY CAKE CASES,28081.73,56061,1993,767,0.7112444444444445,0.5009138260109524,219.0,117.3,0.39064590356932627
22467,GUMBALL COAT RACK,28059.480000000003,11868,1095,398,2.8445724572457243,2.3642972699696667,294.0,665.55,2.4772497472194135
82583,HOT BATHS METAL SIGN,27981.99,12877,1176,323,2.760100166944908,2.1730208899588415,107.0,204.09,0.8309388832802671
23201,JUMBO BAG ALPHABET,27850.83,13366,906,396,2.3900109769484086,2.0837071674397727,594.0,1076.02,4.444111925781835
21212,PACK OF 72 RETROSPOT CAKE CASES,27770.72,48156,1708,772,0.7426918671248568,0.5766824487083645,461.0,239.64,0.9573054240385414
20719,WOODLAND CHARLOTTE BAG,27598.42,24482,1576,365,1.1504794952681388,1.1272943386978187,135.0,106.82,0.5514255371293195
21930,JUMBO STORAGE BAG SKULLS,27368.08,13390,1321,386,2.5286163051608077,2.0439193427931293,6.0,11.49,0.04480955937266617
22624,IVORY KITCHEN SCALES,27282.73,3184,1226,579,9.279365337672905,8.5686966080402,26.0,214.2,0.8165829145728644
72741,GRAND CHOCOLATECANDLE,27239.46,19712,920,510,1.7381798483206934,1.381871956168831,62.0,89.3,0.3145292207792208
22835,HOT WATER BOTTLE I AM SO POORLY,27082.84,5302,1011,451,5.639597249508841,5.108042248208223,408.0,1744.8,7.695209354960392
22492,MINI PAINT SET VINTAGE,27056.19,42286,714,356,0.7730812324929972,0.6398380078512983,281.0,182.64999999999998,0.6645225370098851
84991,60 TEATIME FAIRY CAKE CASES,27041.21,54028,2127,822,0.6644378155117027,0.5005036277485748,350.0,187.95,0.6478122455023322
22961,JAM MAKING SET PRINTED,26888.43,17252,1200,558,1.8915876974231087,1.558568861581266,344.0,444.59999999999997,1.9939717134245305
22734,SET OF 6 RIBBONS VINTAGE CHRISTMAS,26763.75,9772,756,444,3.2632945736434107,2.738820098239869,30.0,86.7,0.30699959066721244
22386,JUMBO BAG PINK WITH WHITE SPOTS,26242.66,14202,802,358,2.151664611590629,1.847814392339107,21.0,40.95,0.1478664976763836
22149,FELTCRAFT 6 FLOWER FRIENDS,26218.97,12674,1382,684,2.382309879175551,2.0687210036294776,664.0,1244.4,5.239072116143285
22867,HAND WARMER BIRD DESIGN,26117.63,11872,1054,521,2.3753406998158377,2.199935141509434,82.0,172.20000000000002,0.6907008086253369
22551,PLASTERS IN TIN SPACEBOY,25912.87,15441,1299,616,1.811910197869102,1.678185998316171,287.0,435.15,1.8586879088141959
47566B,TEA TIME PARTY BUNTING,25803.49,5801,761,350,5.292057291666667,4.44811067057404,1635.0,4490.5,28.184795724875023
20711,JUMBO BAG TOYS,25719.13,12650,1055,326,2.7189603024574667,2.0331328063241108,38.0,70.31,0.30039525691699603
21481,FAWN BLUE HOT WATER BOTTLE,25613.45,8175,1050,439,3.761793427230047,3.13314373088685,802.0,2065.9,9.81039755351682
22507,MEMO BOARD RETROSPOT DESIGN,25603.46,5455,900,445,5.941274944567628,4.6935765352887255,24.0,118.1,0.4399633363886343
22090,PAPER BUNTING RETROSPOT,25497.960000000003,8430,921,374,3.7703779697624187,3.0246690391459077,79.0,217.05,0.9371293001186239
37503,TEA TIME CAKE STAND IN GIFT BOX,25428.33,2465,522,256,11.723193116634798,10.315752535496959,51.0,515.45,2.0689655172413794
21485,RETROSPOT HEART HOT WATER BOTTLE,25408.010000000002,5168,930,502,5.487621052631579,4.91641060371517,22.0,108.9,0.42569659442724456
21108,FAIRY CAKE FLANNEL ASSORTED COLOUR,25407.27,12962,613,325,3.001073170731707,1.9601350100293164,3159.0,6614.370000000001,24.371239006326185
22087,PAPER BUNTING WHITE LACE,25389.100000000002,8475,847,314,3.4823468208092487,2.99576401179941,159.0,465.40000000000003,1.8761061946902655
84755,COLOUR GLASS T-LIGHT HOLDER HANGING,25205.13,40439,1259,524,0.8276983503534957,0.6232876678453968,729.0,415.35,1.802715200672618
22084,PAPER CHAIN KIT EMPIRE,25163.56,8803,811,464,3.2735200974421437,2.858520958764058,111.0,299.45,1.2609337725775305
85099B,JUMBO BAG RED WHITE SPOTTY,25043.62,14061,535,321,2.185128676470588,1.7810696252044662,6.0,10.799999999999999,0.04267121826328142
20724,RED RETROSPOT CHARLOTTE BAG,24958.77,20671,1258,390,1.1285031347962382,1.2074292487059166,226.0,172.73,1.093319142760389
22090,PAPER BUNTING RETRO SPOTS,24933.940000000002,8292,783,367,3.557169811320755,3.006987457790642,418.0,1073.1,5.041003376748673
23173,REGENCY TEAPOT ROSES,24879.13,2766,416,248,11.119714964370546,8.994624005784527,52.0,436.4,1.8799710773680405
20972,PINK CREAM FELT CRAFT TRINKET BOX,24785.31,20496,1397,568,1.4045074415308292,1.209275468384075,1497.0,1553.3899999999999,7.303864168618267
48138,DOOR MAT UNION FLAG,24770.81,3776,674,389,7.36928888888889,6.560066207627119,17.0,114.45,0.4502118644067797
21314,SMALL GLASS HEART TRINKET POT,24641.390000000003,11426,1066,369,2.776856343283582,2.156606861543848,1228.0,2296.8,10.747418169088045
23203,JUMBO BAG VINTAGE DOILY,24489.08,11448,711,363,2.300598885793872,2.139157931516422,568.0,1030.6399999999999,4.96156533892383
22722,SET OF 6 SPICE TINS PANTRY DESIGN,24459.96,5972,835,394,4.675660377358491,4.095773610180844,36.0,141.70000000000002,0.6028131279303416
84077,WORLD WAR 2 GLIDERS ASSTD DESIGNS,24445.609999999997,106250,1021,482,0.28256835937499997,0.23007632941176467,1704.0,361.68,1.6037647058823528
71459,HANGING JAM JAR T-LIGHT HOLDER,24440.74,30176,925,421,1.124854368932039,0.8099396871686109,324.0,254.73000000000002,1.0737009544008482
84836,ZINC METAL HEART DECORATION,24289.33,19847,1408,662,1.3774425087108013,1.2238287902453773,102.0,127.5,0.5139315765606892
22728,ALARM CLOCK BAKELIKE PINK,24257.31,6215,969,357,4.525836734693877,3.9030265486725666,53.0,198.75,0.8527755430410298
47590A,BLUE HAPPY BIRTHDAY BUNTING,24174.010000000002,4752,689,355,5.7879565217391304,5.0871233164983165,188.0,887.8000000000001,3.9562289562289563
21231,SWEETHEART CERAMIC TRINKET BOX,24128.86,19428,1482,500,1.4993377483443708,1.2419631459748817,323.0,388.93,1.6625488984970147
21212,PACK OF 72 RETRO SPOT CAKE CASES,24054.43,46728,1410,632,0.6659163763066203,0.5147755093305941,649.0,310.02,1.3888888888888888
22698,PINK REGENCY TEACUP AND SAUCER,23990.620000000003,8050,1025,400,3.6954607177497576,2.980201242236025,197.0,546.7500000000001,2.4472049689440993
23344,JUMBO BAG 50'S CHRISTMAS,23772.07,10285,716,391,2.4177423822714683,2.311333981526495,262.0,486.96000000000004,2.547399124939232
22171,3 HOOK PHOTO SHELF ANTIQUE WHITE,23709.46,3141,661,269,9.802632375189107,7.548379496975485,154.0,1212.1,4.902897166507482
21790,VINTAGE SNAP CARDS,23506.17,27244,1888,793,1.008572922111866,0.8628017178094258,203.0,162.67,0.7451181911613566
23243,SET OF TEA COFFEE SUGAR TINS PANTRY,23489.42,4800,470,275,5.866072186836518,4.893629166666666,117.0,545.55,2.4375
22605,WOODEN CROQUET GARDEN SET,23426.82,1828,643,377,14.743509316770187,12.81554704595186,14.0,170.29999999999998,0.7658643326039387
82600,NO SINGING METAL SIGN,23096.77,11450,1152,375,2.3898446937014666,2.017185152838428,43.0,83.80000000000001,0.37554585152838427
84406B,CREAM CUPID HEARTS COAT HANGER,23080.13,7131,841,318,3.74048178613396,3.236590940961997,218.0,663.1,3.057074744075165
20914,SET/5 RED RETROSPOT LID GLASS BOWLS,23040.04,7964,1147,442,3.2624037639007697,2.8930236062280263,116.0,327.0,1.4565544952285283
22625,RED KITCHEN SCALES,22911.55,2647,958,440,9.646722338204592,8.65566679259539,37.0,299.2,1.3978088401964488
22607,WOODEN ROUNDERS GARDEN SET,22906.54,2533,744,419,10.02461847389558,9.043245163837348,16.0,133.55,0.6316620607974733
21791,VINTAGE HEADS AND TAILS CARD GAME,22858.6,17609,1316,641,1.4866241560390099,1.2981202794025781,1077.0,1156.25,6.11619058436027
22554,PLASTERS IN TIN WOODLAND ANIMALS,22853.719999999998,13588,1275,587,1.8651470588235295,1.6819046217250513,159.0,243.14999999999998,1.1701501324698262
22556,PLASTERS IN TIN CIRCUS PARADE,22334.079999999998,13585,1196,591,1.7749835526315791,1.6440250276039747,107.0,176.54999999999998,0.7876334192123666
37449,CERAMIC CAKE STAND + HANGING CAKES,22333.3,2382,477,205,11.180564853556485,9.375860621326616,255.0,2234.15,10.70528967254408
20749,ASSORTED COLOUR MINI CASES,22097.61,3062,766,426,8.091415584415586,7.216724363161332,13.0,101.75,0.4245591116917048
22113,GREY HEART HOT WATER BOTTLE,22025.93,5759,996,488,4.199551656920078,3.8246101753776696,32.0,121.8,0.5556520229206459
22585,PACK OF 6 BIRDY GIFT TAGS,21977.3,17558,1084,612,1.3802844444444444,1.251697232030983,394.0,442.90999999999997,2.24399134297756
22499,WOODEN UNION JACK BUNTING,21826.52,3596,775,452,6.612657252888319,6.069666295884316,7.0,41.650000000000006,0.1946607341490545
23202,JUMBO BAG VINTAGE LEAF,21810.43,10941,879,377,2.2962302483069976,1.993458550406727,242.0,442.46000000000004,2.2118636322091216
84970S,HANGING HEART ZINC T-LIGHT HOLDER,21794.26,26444,1425,616,1.090320781032078,0.8241665406141279,125.0,105.19999999999999,0.4726970201179852
22941,CHRISTMAS LIGHTS 10 REINDEER,21727.58,2615,483,315,9.705392561983471,8.308826003824093,74.0,610.3000000000001,2.829827915869981
22456,NATURAL SLATE CHALKBOARD LARGE,21583.2,4416,835,385,6.306929510155317,4.8875,104.0,501.5,2.355072463768116
22969,HOMEMADE JAM SCENTED CANDLES,21501.989999999998,14461,709,472,1.7717207334273626,1.4868950971578727,140.0,185.79999999999998,0.9681211534472027
21524,DOORMAT SPOTTY HOME SWEET HOME,21414.04,2818,745,355,8.928887399463807,7.599020581973031,7.0,56.39,0.248403122782115
21213,PACK OF 72 SKULL CAKE CASES,21390.76,40263,1481,528,0.7410299003322259,0.5312758612125276,89.0,48.949999999999996,0.22104661848347118
21258,VICTORIAN SEWING BOX LARGE,21386.559999999998,1509,528,186,16.944877126654063,14.172670642809805,121.0,1360.1499999999999,8.018555334658714
48184,DOORMAT ENGLISH ROSE,21326.3,3243,530,268,8.449622641509434,6.576102374344742,8.0,63.6,0.2466851680542707
22139,RETRO SPOT TEA SET CERAMIC 11 PC,21301.04,4438,771,465,5.442951030927835,4.7996935556557005,410.0,1779.6000000000001,9.238395673726904
22502,PICNIC BASKET WICKER SMALL,21260.8,3772,927,335,6.643832976445396,5.636479321314952,86.0,436.42,2.2799575821845175
85048,15CM CHRISTMAS GLASS BALL 20 LIGHTS,21201.13,2685,517,309,9.155689655172415,7.896137802607076,93.0,695.35,3.4636871508379885
22083,PAPER CHAIN KIT RETRO SPOT,21151.79,7579,591,324,3.3923865546218486,2.7908417997097246,460.0,1197.0,6.06940229581739
22570,FELTCRAFT CUSHION RABBIT,20901.1,5631,807,351,4.310666666666666,3.7117918664535603,431.0,1464.33,7.654057893802167
22424,ENAMEL BREAD BIN CREAM,20886.89,1531,741,310,15.343867924528302,13.64264532984977,47.0,570.45,3.069888961463096
23206,LUNCH BAG APPLE DESIGN,20852.579999999998,12147,1036,401,2.0589553656220323,1.7166856013830574,59.0,97.15,0.48571663785296787
21218,RED SPOTTY BISCUIT TIN,20800.31,5256,897,313,5.261407982261641,3.9574410197869105,79.0,277.25,1.5030441400304413
22294,HEART FILIGREE DOVE SMALL,20629.38,16671,861,414,1.4552125279642059,1.2374410653230161,107.0,133.75,0.6418331233879191
22617,BAKING SET SPACEBOY DESIGN,20546.99,4252,943,600,5.295658587987355,4.832311853245532,243.0,1147.55,5.714957666980244
